Reaction,fc,pval,Truncating,WT,subSystem
DADAe,0.5137404239263408,0,82.4206371241128,26.476021538579324,Nucleotide interconversion
DADNt4,-0.5137404239263408,0,-82.4206371241128,-26.476021538579324,"Transport, extracellular"
DAGt,-1,0,-203.0573233689308,NA,"Transport, extracellular"
DALAOXx,0.5009014732436082,0,26.19683091821226,8.711297810048778,D-alanine metabolism
DALAxt,0.5009014732436082,0,26.19683091821226,8.711297810048778,D-alanine metabolism
DASCBR,0.8436514324145444,0,358.7371711708188,30.42225979710277,Vitamin C metabolism
DCK1n,-1.5880470884628852,0,-412.31103312225343,93.68388374752034,Nucleotide interconversion
DCK2n,1.0626079713747747,0,20.2674923461271,-667.7087654327393,Nucleotide interconversion
DCSPTN1t,0.33667534930854776,0,22.63812047046146,11.234158960998082,"Transport, extracellular"
DCYTD,-1,0,NA,516.4182850898743,Pyrimidine catabolism
DCYTDn,0.8102434878470078,0,221.3084877635956,23.19838575849207,Nucleotide interconversion
