Reaction,S1K1,S1K1_FC5,fc,pval,subSystem
NMNS,52.461586,4.888338,-0.829525906,0,NAD metabolism
NNMT,37.712917,591.38257,0.880104308,0,NAD metabolism
ODECOAtx,0.1142958,1.6288228,0.868860565,0,"Transport, peroxisomal"
PGDIr,-110.82932,258.31165,2.502950656,0,Eicosanoid metabolism
PHEt4,9.107599,280.7819,0.937165029,0,"Transport, extracellular"
PIter,152.34283,-325.04068,-2.764270453,0,"Transport, endoplasmic reticular"
PPItx,5.1738086,148.07857,0.932479886,0,"Transport, peroxisomal"
PRGNLONEtr,233.26762,8.677552,-0.928268442,0,"Transport, endoplasmic reticular"
PRISTANALtx,2.9912043,510.42645,0.988347872,0,"Transport, peroxisomal"
PROSTGD2t,70.39735,-61.843937,-15.46064034,0,"Transport, extracellular"
PSSA1_hs,238.9734,-273.1143,-14.99925703,0,Glycerophospholipid metabolism
PSSA2_hs,-606.1749,-57.347374,0.827142586,0,Glycerophospholipid metabolism
PTDCACRNCPT1,0.9226962,-3.432923,-1.735149662,0,Fatty acid oxidation
PTDCACRNCPT2,0.9226962,-3.432923,-1.735149662,0,Fatty acid oxidation
PTDCAt,5.4771147,-0.41303834,-1.16312486,0,"Transport, extracellular"
RAI3,10.405769,-61.821487,-1.404770001,0,Vitamin A metabolism
SCP22x,137.35426,-8.1532755,-1.126210729,0,"Transport, peroxisomal"
SERGLYexR,-2.6280632,483.7214,1.010925377,0,"Transport, extracellular"
SPRMS,8.830703,142.40918,0.883222566,0,Urea cycle
SR5AR2r,156.72401,13.249349,-0.844100877,0,Steroid metabolism
SUCOASm,50.358883,-229.3048,-1.562839138,0,Citric acid cycle
T4HCINNMFM,23.446486,327.73038,0.866469072,0,Ubiquinone synthesis
TDCHOLAtx,11.442872,-249.74797,-1.096035473,0,"Transport, peroxisomal"
TETPENT3CPT1,14.28432,-80.67435,-1.430315222,0,Fatty acid oxidation
TETPENT3CPT2,14.28432,-80.67435,-1.430315222,0,Fatty acid oxidation
TETPENT3CRNt,14.28432,-80.67435,-1.430315222,0,Fatty acid oxidation
TETPENT6CPT1,-13.291575,-239.84317,-0.894984199,0,Fatty acid oxidation
TETPENT6CPT2,-13.291575,-239.84317,-0.894984199,0,Fatty acid oxidation
TETPENT6CRNt,-13.291575,-239.84317,-0.894984199,0,Fatty acid oxidation
THFt2,-75.93339,164.71169,2.710629257,0,"Transport, extracellular"
THRGLYexR,139.41098,-276.58243,-3.032652796,0,"Transport, extracellular"
THYMt,251.89232,-186.57266,-6.712603677,0,"Transport, extracellular"
TMDPP,405.37228,-19.816748,-1.102795821,0,Pyrimidine catabolism
TMNDNCCPT2,0.030688833,-1.9689736,-1.03166597,0,Fatty acid oxidation
TRIODTHYt2,-707.5264,293.0004,2.413664687,0,"Transport, extracellular"
TTDCPT2,64.77128,-213.6855,-1.869913764,0,Fatty acid oxidation
TYRTAm,23.446486,327.73038,0.866469072,0,Tyrosine metabolism
UDPDOLPT_L,1.63E-15,-1.02E-15,-4.337293546,0,N-glycan synthesis
UGT1A10r,2.2613246,-3.8273606,-3.887960243,0,Steroid metabolism
UMPK3n,-913.0694,179.73967,1.490201519,0,Nucleotide interconversion
UMPK5n,543.399,-210.55867,-2.265223434,0,Nucleotide interconversion
UMPK7n,388.29724,28.249226,-0.864364596,0,Nucleotide interconversion
URIDK2m,5.915761,-206.26518,-1.059054436,0,Nucleotide interconversion
VALt4,8.154296,194.48514,0.919519157,0,"Transport, extracellular"
VALt5m,-56.936886,65.341934,14.54826082,0,"Transport, mitochondrial"
VALTAm,-56.936886,65.341934,14.54826082,0,"Valine, leucine, and isoleucine metabolism"
VALtec,128.70197,-283.5743,-2.66203929,0,"Transport, extracellular"
XYLUR,539.4814,-384.85757,-5.977985736,0,Pentose phosphate pathway
EX_dgmp[e],-17.23868,314.40805,1.116019225,0,Exchange/demand reaction
EX_dgtp[e],17.23868,-314.40805,-1.116019225,0,Exchange/demand reaction
EX_orot[e],-406.6393,427.9642,39.13753575,0,Exchange/demand reaction
r0021,-128.05592,285.761,2.623992711,0,Glutathione metabolism
r0081,288.45096,-235.452,-9.885156392,0,Citric acid cycle
r0245,321.57584,9.412782,-0.943123234,0,Glycerophospholipid metabolism
r0249,19.247677,-365.98398,-1.111021987,0,Pentose phosphate pathway
r0317,193.05655,-538.5788,-2.117476777,0,Miscellaneous
r0410,-17.23868,314.40805,1.116019225,0,Pyrimidine catabolism
r0425,-231.59488,28.82487,1.284310974,0,Miscellaneous
r0434,-189.42696,85.477325,2.644591288,0,Fatty acid oxidation
r0483,-117.317825,236.10725,2.975223301,0,Pyrimidine catabolism
