Reaction,S1K,S1K_FC5,fc,pval,subSystem
r2117,-49.46234,628.73486,1.170773994,0,"Transport, extracellular"
r2119,718.5703,-880.7025,-9.864002262,0,"Transport, extracellular"
r2121,-42.689896,46.99593,20.82794074,0,"Transport, extracellular"
r2123,-425.50516,-21.530128,0.903675935,0,"Transport, extracellular"
r2125,-664.8883,-36.373848,0.896261766,0,"Transport, extracellular"
r2126,-56.65168,432.44635,1.301503375,0,"Transport, extracellular"
r2127,-385.23868,376.87775,91.15217177,0,"Transport, extracellular"
r2130,-80.388885,13.899373,1.418092178,0,"Transport, extracellular"
r2131,-86.22403,381.813,1.583404962,0,"Transport, extracellular"
r2132,20.410072,1.6119027,-0.853609613,0,"Transport, extracellular"
r2133,98.976974,-33.983273,-2.04574042,0,"Transport, extracellular"
r2139,-9.716862,237.11592,1.085460874,0,"Transport, extracellular"
