Reaction,S1C2,S1K2,fc,pval,subSystem
r2008,112.60621,11.079053,-0.82085089,0,"Transport, extracellular"
r2009,146.2352,14.365721,-0.82110039,0,"Transport, extracellular"
r2013,97.325226,8.115079,-0.846072551,0,"Transport, extracellular"
r2018,409.37314,8.990589,-0.957020228,0,"Transport, extracellular"
r2020,16.43815,424.8093,0.925492373,0,"Transport, extracellular"
r2022,240.95026,17.87101,-0.861904617,0,"Transport, extracellular"
r2023,426.4956,5.558755,-0.97426826,0,"Transport, extracellular"
r2027,183.40028,11.702366,-0.880038887,0,"Transport, extracellular"
r2029,446.889,4.623877,-0.979518294,0,"Transport, extracellular"
r2035,474.3873,15.506532,-0.936694322,0,"Transport, extracellular"
r2045,5.420723,411.77783,0.974013701,0,"Transport, extracellular"
r2051,185.13849,17.27855,-0.829277722,0,"Transport, extracellular"
r2056,254.13615,6.2629814,-0.951897066,0,"Transport, extracellular"
r2063,12.967809,415.62292,0.939486287,0,"Transport, extracellular"
r2065,4.881902,251.4898,0.961915437,0,"Transport, extracellular"
