Reaction,S1C2,S1K2,fc,pval,subSystem
CO2tp,-92.729,13.342634,1.336144206,0,"Transport, peroxisomal"
COAtn,-213.23375,64.577736,1.868821012,0,"Transport, nuclear"
CSNAT2x,-108.0097,30.935816,1.802757485,0,Fatty acid oxidation
CYSGLUexR,376.96875,-334.01785,-16.55347144,0,"Transport, extracellular"
CYTDK1,130.28848,6.1931677,-0.909245421,0,Nucleotide interconversion
CYTK11,-56.91554,117.6444,2.874414701,0,Nucleotide interconversion
CYTK13,-194.84378,188.24846,58.08559636,0,Nucleotide interconversion
CYTK13n,-28.050776,-538.6995,-0.90101188,0,Nucleotide interconversion
CYTK14n,209.56992,-169.50018,-9.460262865,0,Nucleotide interconversion
CYTK2n,120.696625,-121.066,-654.5018345,0,Nucleotide interconversion
CYTK3,-186.00816,38.245167,1.517655542,0,Nucleotide interconversion
CYTK4n,-649.1641,306.27414,2.786427689,0,Nucleotide interconversion
CYTK5,495.13144,-281.1252,-3.627262117,0,Nucleotide interconversion
CYTK5n,613.8313,-636.5814,-54.96289939,0,Nucleotide interconversion
CYTK7,338.87204,-56.41685,-1.399474656,0,Nucleotide interconversion
CYTK8,213.67732,-133.4139,-4.324400036,0,Nucleotide interconversion
CYTK8n,-299.07394,666.53516,2.627785257,0,Nucleotide interconversion
DADNt4,190.00096,-296.3665,-4.572604242,0,"Transport, extracellular"
DAGt,-45.876133,-505.27316,-0.833525573,0,"Transport, extracellular"
DCK2n,386.13156,-4.7202024,-1.024751241,0,Nucleotide interconversion
DHCHOLESTANATEtm,-1.3547024,-36.193596,-0.927842148,0,"Transport, peroxisomal"
DHEASt,-97.281136,261.3963,2.185522908,0,"Transport, extracellular"
DHEAtr,23.646437,-362.15265,-1.13971051,0,"Transport, endoplasmic reticular"
DIDPtn,348.3807,-177.34666,-3.073817189,0,"Transport, nuclear"
DINt,-235.49118,65.02005,1.76282772,0,"Transport, extracellular"
DITPtn,-348.3807,177.34666,3.073817189,0,"Transport, nuclear"
DMNONCOACRNCPT1,115.869736,-20.310986,-1.425099442,0,Fatty acid oxidation
DNDPt13m,44.323284,4.0157175,-0.833851862,0,"Transport, mitochondrial"
DNDPt14m,54.351418,4.199671,-0.856546795,0,"Transport, mitochondrial"
DNDPt15m,15.281636,1.3190641,-0.841083311,0,"Transport, mitochondrial"
DNDPt17m,16.827742,1.5587736,-0.830443824,0,"Transport, mitochondrial"
DNDPt19m,40.417717,3.8597977,-0.825654266,0,"Transport, mitochondrial"
DNDPt42m,49.018612,2.3405347,-0.908856172,0,"Transport, mitochondrial"
DOLGLCP_Lter,-1.93E-15,1.44E-15,6.802406709,0,N-glycan synthesis
DURAD,-22.380545,30.294277,6.656127669,0,Pyrimidine catabolism
DURAD2,-143.73976,599.07513,1.631357776,0,Pyrimidine catabolism
DURIt,34.785892,-949.7,-1.076041873,0,"Transport, extracellular"
ELAIDCRNt,470.8028,42.233692,-0.835357934,0,Fatty acid oxidation
ESTRADIOLGLCt,1.5866414,-24.535084,-1.138278781,0,"Transport, extracellular"
EX_atp[e],208.01312,-228.106,-21.70517077,0,Exchange/demand reaction
EX_bhb[e],755.63715,-161.57117,-1.543950227,0,Exchange/demand reaction
EX_eicostet[e],-0.8039582,-10.159821,-0.853342857,0,Exchange/demand reaction
EX_fuc_L[e],43.141136,436.2056,0.820000295,0,Exchange/demand reaction
EX_gt1a_hs[e],0.3512667,3.592495,0.821862106,0,Exchange/demand reaction
EX_hexc[e],0.5672833,7.7771587,0.864033262,0,Exchange/demand reaction
EX_pglyc_hs[e],-137.5387,43.33218,1.919940075,0,Exchange/demand reaction
EX_retn[e],155.56487,-19.390299,-1.284785912,0,Exchange/demand reaction
EX_s2l2fn2m2masn[e],-30.667904,-426.08395,-0.865713059,0,Exchange/demand reaction
EX_strdnc[e],-8.88672,-94.213,-0.827609243,0,Exchange/demand reaction
EX_thym[e],-235.99973,237.97607,239.823673,0,Exchange/demand reaction
FALDH,-77.17372,59.040024,7.51163711,0,Tyrosine metabolism
FAOXC18480x,31.07049,2.34069,-0.859885841,0,Fatty acid oxidation
FAOXC226205x,36.972733,1.6070327,-0.916690388,0,Fatty acid oxidation
FOLt2,108.73173,-338.60925,-1.945997041,0,"Transport, extracellular"
FUCASEe,28.249907,424.3735,0.875172578,0,N-glycan degradation
G6PDH1rer,37.13772,-236.79027,-1.37202346,0,Pentose phosphate pathway
GCHOLAtx,142.30258,9.533655,-0.874421871,0,"Transport, peroxisomal"
GGT_L,-1.85E-15,1.36E-15,6.546106887,0,N-glycan synthesis
