Reaction,fc,pval,Clus,Disp,subSystem
C161CRNt,-0.6598664567677144,0,-50.97433936404355,-248.75698898208142,Fatty acid oxidation
C180CPT1,-0.8355554422389451,0,133.61509073547572,11.970368206038781,Fatty acid oxidation
C180CPT2,-0.7192364117730626,0,161.8033879612446,26.42364917366046,Fatty acid oxidation
C181CPT1,0.7558744829847421,0,33.912706688769624,243.91737927188873,Fatty acid oxidation
C181CPT2,-1.706885256524774,0,40.23430741989529,-154.06977660961152,Fatty acid oxidation
C204CRNt,2.5175143647488922,0,-210.53280118064882,488.003388703537,Fatty acid oxidation
CAROtr,-0.39048272762922964,0,10.297504206743278,4.513904812771122,"Transport, extracellular"
CBR2,0.36758678913803117,0,171.53292546159477,370.9381125099182,Eicosanoid metabolism
CDIPTr,1.5466401805461663,0,-16.65104327669301,3.5741717155744395,Glycerophospholipid metabolism
CEPTC,0.39481975981621636,0,5.384420434706103,12.410015262900083,Glycerophospholipid metabolism
CEPTE,0.5110753258413544,0,8.941583116424518,27.63494324445685,Glycerophospholipid metabolism
CGLYt3_2_,0.6152561067776692,0,66.32667729867734,278.45684476413726,"Transport, extracellular"
CHATn,-2.565810800350497,0,162.1473230494499,-369.25704922218324,Glycerophospholipid metabolism
CHLPCTD,0.3377694896024344,0,6.975285459525004,14.090749251975796,Glycerophospholipid metabolism
CHOLATEt2,0.6803296901848636,0,15.446596664917864,81.19419974717647,"Transport, extracellular"
CHOLtn,-2.565810800350497,0,162.1473230494499,-369.25704922218324,"Transport, nuclear"
CHOLtu,0.36069273669168334,0,403.78014184640494,859.4000690490723,"Transport, extracellular"
CHSTEROLtg,-0.4638895003549877,0,29.236770413823518,10.707187660517079,"Transport, golgi apparatus"
CITt4_2,0.533048491881573,0,-448.47937097091676,-136.60240999803315,"Transport, extracellular"
CITtam,-5.127711889721628,0,193.86632538146972,-287.8003646559715,"Transport, mitochondrial"
CKc,-0.586105716434634,0,52.11911040576395,13.600481757261791,Urea cycle
CLHCO3tex2,-0.4230254272751592,0,171.2116554527402,69.41883810151778,"Transport, extracellular"
CLPNDCPT1,0.5472885123185252,0,0.9885709005402619,3.3787620584846896,Fatty acid oxidation
CLPNDCPT2,0.5472885123185252,0,0.9885709005402619,3.3787620584846896,Fatty acid oxidation
CLS_hs,0.37774921189994115,0,0.009698403655369248,0.02147360557576966,Glycerophospholipid metabolism
CO2tg,0.4993084723832241,0,-1.276490437132303,-0.42628182173882706,"Transport, golgi apparatus"
CO2tp,-0.5592946853503444,0,118.2671934135437,33.42599777689669,"Transport, peroxisomal"
COAtm,-0.47194669706234016,0,-139.20615818796531,-388.03666905517576,"Transport, mitochondrial"
COAtn,2.565810800350497,0,-162.1473230494499,369.25704922218324,"Transport, nuclear"
COAtr,-1,-12.689138576779026,62.588302373615,NA,"Transport, endoplasmic reticular"
COKECBESr,0.6244143812917856,0,96.50181999781132,417.3720622329235,Alkaloid synthesis
CRNCARtp,0.4317731278109891,0,67.64153101609685,170.4377796490878,"Transport, peroxisomal"
CSDPASEly,-0.6206394310657297,0,9.117942301858985,2.1343351968601985,Chondroitin sulfate degradation
CSPG_Dtly,-0.6206394310657297,0,9.117942301858985,2.1343351968601985,"Transport, lysosomal"
CYANt,0.5347701937092113,0,82.7650185837999,273.0377157408714,"Transport, extracellular"
CYSTA,-0.4371015118087994,0,801.2497042823792,313.8416065240383,Methionine and cysteine metabolism
CYStec,-4.071125102485093,0,518.8181529770136,-314.2015669169426,"Transport, extracellular"
CYSTSERex,0.8506533995783863,0,38.8098513929341,480.91877026128174,"Transport, extracellular"
CYTD,-0.3622230954860014,0,81.02301409476176,37.93402658858551,Pyrimidine catabolism
CYTDt,-0.5852899782811918,0,-73.5809262518406,-281.27389952197075,"Transport, extracellular"
CYTDt4,-0.5799955639653073,0,347.9656692804217,92.49843988091536,"Transport, extracellular"
CYTK10,-2.8601296975308843,0,180.73375420265197,-375.057574141182,Nucleotide interconversion
CYTK10n,-3.125775301910131,0,232.14732119873315,-119.61219545339519,Nucleotide interconversion
CYTK11n,1.884563459997812,0,-558.2916048140526,171.20245766491965,Nucleotide interconversion
CYTK12n,1.6329704988034435,0,-230.0604796863988,956.9837095092773,Nucleotide interconversion
CYTK13,-1.8977429968758308,0,395.2106045791626,-122.43927530306429,Nucleotide interconversion
CYTK13n,-2.2350647630034333,0,56.768506481041946,-148.69648982499578,Nucleotide interconversion
CYTK14,0.6424790690382409,0,86.63485997507367,398.00731044006346,Nucleotide interconversion
CYTK14n,-1.0002792737248711,0,0.10199779169316905,-730.55232383117675,Nucleotide interconversion
CYTK2n,0.6723641869470368,0,-296.4563303260803,-58.07928176122752,Nucleotide interconversion
CYTK3,0.43964548148242444,0,-633.7920556125641,-246.69145753671341,Nucleotide interconversion
CYTK3n,-1.92136160190856,0,583.6211026966095,-184.06693431476802,Nucleotide interconversion
