Reaction,fc,pval,subSystem
DTDPtn,2.517926081098656,0,"Transport, nuclear"
DTTPtn,-2.517926081098656,0,"Transport, nuclear"
EICOSTETCRNt,-3.699550330889106,0,Fatty acid oxidation
EICOSTETt,-1.7187298177960093,0,"Transport, extracellular"
EX_34dhoxpeg[e],0.8248386406955573,0,Exchange/demand reaction
EX_4nph[e],2.318830795072187,0,Exchange/demand reaction
EX_ach[e],-6.637655078661523,0,Exchange/demand reaction
EX_amp[e],178.97234732894464,0,Exchange/demand reaction
EX_gd1c_hs[e],-3.4855614413133233,0,Exchange/demand reaction
EX_gq1b_hs[e],-0.8914438848306141,0,Exchange/demand reaction
EX_hista[e],0.893310966699167,0,Exchange/demand reaction
EX_i[e],-1.3911237628736994,0,Exchange/demand reaction
EX_inost[e],-4.161807535406223,0,Exchange/demand reaction
EX_ocdcea[e],-1.02908976065169,0,Exchange/demand reaction
EX_thyox_L[e],1.3911237628736994,0,Exchange/demand reaction
EX_triodthy[e],-4.061424151447727,0,Exchange/demand reaction
EX_whhdca[e],-4.455569339574334,0,Exchange/demand reaction
FATP2t,-1.2487328864816722,0,"Transport, extracellular"
FUMSO3tm,1.4874638200475379,0,"Transport, mitochondrial"
FUMtm,-1.6182418098122802,0,"Transport, mitochondrial"
FUMTSULtm,-4.1411576596863595,0,"Transport, mitochondrial"
G6PDH1rer,1.4397062259520637,0,Pentose phosphate pathway
GLXtm,-0.9834412227150281,0,"Transport, mitochondrial"
GQ1Bte,-1.217901540485609,0,"Transport, extracellular"
GTMLTe,0.9516359264942919,0,Glutathione metabolism
H2O2t,-1.6844008597014963,0,"Transport, extracellular"
H2Otn,0.969348874503338,0,"Transport, nuclear"
HSD11B2r,14.941635238829338,0,Steroid metabolism
HSD17B2r,-0.8494893221216598,0,Steroid metabolism
HSD3A2r,3.8599586628610147,0,Steroid metabolism
ICDHyp,-0.8401694966088876,0,Citric acid cycle
IDPtn,0.8243352138890514,0,"Transport, nuclear"
INSt,-1.756757411073093,0,"Transport, extracellular"
INSTt4,-98.50176854985249,0,"Transport, extracellular"
ITPtn,-0.8243352138890514,0,"Transport, nuclear"
LNELDCCRNt,1.6329279973087367,0,Fatty acid oxidation
LNLCCRNt,6.173943890790638,0,Fatty acid oxidation
LNLNCGCPT2,-3.011982660233087,0,Fatty acid oxidation
LNLNCGCRNt,-1.144029943408694,0,Fatty acid oxidation
MALSO4tm,1.0794763543932793,0,"Transport, mitochondrial"
MALTSULtm,11.607977352326271,0,"Transport, mitochondrial"
MECOALm,-0.859372624199492,0,C5-branched dibasic acid metabolism
MECOAS1m,0.859372624199492,0,C5-branched dibasic acid metabolism
METtec,1.47150076857074,0,"Transport, extracellular"
MTHFD2m,2.253676435123935,0,Folate metabolism
MTHFDm,-4.528676518219611,0,Folate metabolism
NAHCO3_HCLt,0.9466001325934987,0,"Transport, extracellular"
NCKt,19.325217861496576,0,"Transport, extracellular"
NDP8,-0.9363523576510411,0,Nucleotide interconversion
NDPK3n,0.8200238006065186,0,Nucleotide interconversion
NDPK4n,1.538175003572229,0,Nucleotide interconversion
NDPK9n,0.8243352138890514,0,Nucleotide interconversion
O2ter,-1.82197810571109,0,"Transport, endoplasmic reticular"
OCDCAtr,-0.821331071801448,0,"Transport, extracellular"
OCDCEAtr,-1.3537139840990824,0,"Transport, extracellular"
PHEtec,2.550548552740586,0,"Transport, extracellular"
PIter,17.38237669042686,0,"Transport, endoplasmic reticular"
PRGNLONEtr,0.8816240405017667,0,"Transport, endoplasmic reticular"
PROSTGE1t,6.4962326416319875,0,"Transport, extracellular"
PROSTGE2t,-1.4105380275501327,0,"Transport, extracellular"
PROSTGE2t2,0.9257802654171213,0,"Transport, extracellular"
SERt4,-0.9829665753478897,0,"Transport, extracellular"
SPODMm,-0.9638333995978425,0,ROS detoxification
SUCOASm,-1.0227467429236965,0,Citric acid cycle
THCHOLSTOICtm,5.402823915969325,0,"Transport, peroxisomal"
THFt2,-1.0556510011477442,0,"Transport, extracellular"
THYOXt,-5.673597634286477,0,"Transport, extracellular"
THYOXt2,11.196721969403328,0,"Transport, extracellular"
TMDPP,-1.242188665397444,0,Pyrimidine catabolism
TMNDNCCOAtx,-2.75414570442448,0,"Transport, peroxisomal"
TMNDNCCRNt,-1.008097178595139,0,Fatty acid oxidation
TRIODTHYt,-19.437099711475067,0,"Transport, extracellular"
TTDCPT2,-0.8584855920454589,0,Fatty acid oxidation
TTDCRNt,-5.552358837832742,0,Fatty acid oxidation
TYRt,-1.118541843341623,0,"Transport, extracellular"
UGT1A10r,-1.0123909182432935,0,Steroid metabolism
UMPK2,7.504931206819223,0,Nucleotide interconversion
UMPK3,-1.287137735494492,0,Nucleotide interconversion
UMPK4,-0.8803943848178116,0,Nucleotide interconversion
UMPK4n,1.9039625257520343,0,Nucleotide interconversion
UMPK5,1.7134959322884706,0,Nucleotide interconversion
UMPK6,-2.8093014594210874,0,Nucleotide interconversion
UMPK7,13.269456783734638,0,Nucleotide interconversion
UMPK7n,-0.8772508342565816,0,Nucleotide interconversion
URIDK2m,-1.1761415214315825,0,Nucleotide interconversion
URIt4,0.9400682273795722,0,"Transport, extracellular"
WHHDCAte,4.455569339578426,0,"Transport, extracellular"
EX_dgmp[e],-32.37284432692106,0,Exchange/demand reaction
EX_dgtp[e],32.37284432692106,0,Exchange/demand reaction
