Reaction,fc,pval,Truncating,WT,subSystem,rxnNames,geneRules,kegg,source
INSt,-1.8358830825553814,0,-115.92935841235733,34.17044590606689,"Transport, extracellular",Transport of Inosine (Diffusion),3177.1 or 2030.1,NA,"PMID:10722669,PMID:12838422"
INSTt4,1.0000003256643284,0,9.410037379711866e-6,-57.78980434571179,"Transport, extracellular",Transport of Inositol via Sodium Symport,6526.1,NA,"PMID:12748858,PMID:1372904,PMID:15546855,PMID:7537337,PMID:7789985"
IPDDIx,0.4514470284261636,0,5.267728055826912,1.9908600326944128,Cholesterol metabolism,Isopentenyl-Diphosphate D-Isomerase,3422.1 or 91734.1,NA,PMID:11111079
ITCOAL1m,1,0.04014141658953089,0,-0.5440746760949493,C5-branched dibasic acid metabolism,"Itaconate- Coenzyme A Ligase (GDP-Forming), Mitochondrial",8802.1 and 8801.1,NA,PMID:13783048
KAS8,0.3612153905042646,0,1.4455552326610792,0.6783632048546335,Fatty acid synthesis,"B-Ketoacyl Synthetase (Palmitate, N-C16:0)",(2194.1) or (2194.1 and 79071.1) and (60481.1) and (54898.1),NA,"PMID:11756679,PMID:15507492,PMID:2669958"
KCC2t,-1,0,-60.973378072726724,0,"Transport, extracellular",K+-Cl- Symporter (NH4+),6560.1 or 10723.1 or 9990.1,NA,"PMID:10187864,PMID:10347194,PMID:10600773,PMID:121106695,PMID:12657561,PMID:8663127"
KCCt,1,0,56.82271692431588,0,"Transport, extracellular",K+-Cl- Symport,10723.1 or 57468.1 or 9990.1 or 6560.1,NA,"PMID:10187864,PMID:10347194,PMID:10600773,PMID:121106695,PMID:12657561,PMID:12739168,PMID:8663127"
KHK,0.7524602700755539,0,61.90991340671778,8.744941900271465,Fructose and mannose metabolism,Ketohexokinase,3795.1 or 3795.2,NA,NA
KHK3,0.6868482239887393,0,13.85014804415492,2.571184767169044,Galactose metabolism,Ketohexokinase (D-Tagatose),3795.1 or 3795.2,NA,"PMID:2996495,PMID:6284103,PMID:6298387"
KSII_CORE4t,0.3485667887444521,0,0.4211722940746675,0.20344978262171765,"Transport, extracellular","Keratan Sulfate Ii (Core4) Transport, Golgi to Extracellular",NA,NA,NA
KYN,1,0,20.93714880783041,NA,Tryptophan metabolism,Kynureninase,8942.1,NA,PMID:9180257
LACZe,0.603244095609927,0,19.764595581947546,4.891157882004482,Galactose metabolism,"B-Galactosidase, Extracellular",3938.1 or 2720.1,NA,PMID:5774109
LALDO,-1.0697509939862793,0,-8.273459550307155,245.5018939417839,Pyruvate metabolism,D-Lactaldehyde:NAD+ Oxidoreductase (Glutathione-Formylating),128.1,NA,NA
LCADi_D,-0.4377657690718812,0,13.246099384675542,33.87340581802011,Pyruvate metabolism,Lactaldehyde Dehydrogenase,218.1 or 223.1 or 8854.2 or 224.1 or 222.1 or 8854.1 or 221.1 or 216.1 or 8854.3 or 501.1 or 220.1,NA,"PMID:15987839,PMID:2296157,PMID:6487654"
LCADim,-0.5882877410987879,0,5.736440689958594,22.129820592948793,Pyruvate metabolism,"Lactaldehyde Dehydrogenase, Mitochondrial",4329.1 or 7915.1 or 8659.1 or 5832.1 or 217.1 or 7915.2 or 219.1 or 8659.2,NA,"PMID:15987839,PMID:2296157,PMID:6487654"
LCTStg,0.4482044116979788,0,4.42340810541936,1.6854092268425114,"Transport, extracellular",Lactose Transport from Golgi to Extracellular (Via Vesicle),NA,NA,NA
