GeneID	GES_W1	GES1_ARID1A_KO	GES1_WT_Volasertib	GES1_ARID1A_KO_Volasertib	OVCAR3_WT	OVCAR3_ARID1A_KO
1188	0.057765	0.22799999999999998	0.08313	0.24919999999999998	0.8010999999999999	1.2016
348487	9.8955	11.969999999999999	7.8225	8.8775	10.63	24.86
1969.1	92.925	142.47	97.205	130.72	101.595	180.25
101927479	0.46265	0.68125	0.4895	1.0403	0.20175	0.39695
128272	12.399999999999999	17.630000000000003	10.5165	17.045	9.192499999999999	15.85
101927546	0.1847	0.32415	0.10284499999999999	0.606	0.187035	1.0016500000000002
79363	3.3019999999999996	3.7485	3.6365	3.6905	5.046	7.784
54455	8.4775	12.54	9.1665	10.66	9.788	15.59
26099	85.25	114.15	91.225	113.8	77.185	106.575
374955	21.310000000000002	28.235	22.6	27.384999999999998	20.630000000000003	29.285
55707	33.22	42.19	34.6	41.254999999999995	34.415	41.975
107984921	0.2452	0.43005000000000004	0.25995	0.5044	0.7678499999999999	1.2305000000000001
114819	1.77	2.3825000000000003	2.0875	2.982	3.326	4.2835
26871	0	0	0.32665	0.34535	0.2271	1.024
107985757	0	0	0	0	0	0
100132147	0	0.03622	0	0	0.05639	0.036215
107985758	0	0	0	0	0.5175	0
7195	0	0	0	0	0	0
55672	14.5	18.244999999999997	15.865	20.314999999999998	16.085	34.75
105376794	8.622499999999999	13.415	7.864000000000001	13.86	9.557500000000001	16.805
84809	17.32	26.41	17.625	28.215	20.895	30.935000000000002
11209	2.4375	1.736	2.9124999999999996	1.7069999999999999	2.9859999999999998	6.5995
107985736	0.2672	0.11965	0.083695	0.20182	0.39980000000000004	0.3409
26869	0	0	0.32665	0.34535	0.53155	0.3414
107985759	0	0	0	0	0	0
284729	0	0.027625	0	0	0.07435	1.22305
100189045	0	0	0	0	0	0
6060	0.6953	0	0.775	0	0.30445	0
11223	0.8913	0.6697	0.575	0.7839499999999999	1.237	2.5725
100500876	0	0	0	0	0	0
100189298	0	0	0	0	0	0
112267871	0	0.04334	0.0984	0.1315	0.7416	0.347045
7193	0	0.7775	0.883	0.7865	1.728	1.5615
