Reaction,fc,pval,MCF10A_KO,MCF10A_P,rxnNames,subSystem,geneRules,kegg,source
O2Stn,0.8571350037409321,0,27.126916016148684,2.0868093850799836,"Transport of peroxide Anion via Diffusion, Nuclear","Transport, nuclear",NA,NA,PMID:12939409
O2ter,-2.4957474015686243,0,-91.71056810825122,214.33898519535066,"Transport of Oxygen, Endoplasmic Reticulum","Transport, endoplasmic reticular",NA,NA,NA
O2tp,-1,0,-181.91037043140167,NA,"Transport of Oxygen, Peroxisomal","Transport, peroxisomal",NA,NA,NA
OAGT3te,0.3922867875562038,0,3.092969974029064,1.3500370295179076,Transport of 9-O-Acetylated Gt3,"Transport, extracellular",NA,NA,PMID:8206147
OCCOAtx,1,0,NA,-124.51699302082062,Fatty Acid Intracellular Transport,"Transport, peroxisomal",NA,NA,NA
OCDCEAtr,-0.7659424964565797,0,-3.2798693049758674,-0.4347129212937085,Fatty Acid Transport via Diffusion,"Transport, extracellular",10998.1,NA,"PMID:11788354,PMID:12864740"
OCTAt,1,0,1.74590626090027,NA,Octanoate Transport via Diffusion,"Transport, extracellular",NA,NA,NA
ODECOAtx,-1.054641470921482,0,-0.8511314593885879,32.004445784020795,Fatty Acid Intracellular Transport,"Transport, peroxisomal",NA,NA,NA
OIVD2m,1,0,17.198184212551684,NA,2-Oxoisovalerate Dehydrogenase (Acylating,"Valine, leucine, and isoleucine metabolism",(1629.1) and (594.1 and 593.1) and (1738.1) or (1629.1) and (1738.1) and (594.2 and 593.1),NA,"PMID:1429740,PMID:2914958"
ORNt3m,1,0,343.78597641968724,NA,Ornithine Mitochondrial Transport via Proton Antiport,"Transport, mitochondrial",83884.1 or 10166.1,NA,PMID:14598172
ORNt4m,1,0,NA,-1.6651860790876671,Ornithine Mitochondrial Transport Exchange with Citruline,"Transport, mitochondrial",10166.1 or 83884.1,NA,PMID:14598172
ORNTArm,-4.069493726198883,0,-352.1805463813305,213.23943494005204,"Ornithine Transaminase Reversible, Mitochondrial",Urea cycle,4942.1,NA,PMID:9514741
ORPT,-0.5945305114239487,0,248.52470443429948,977.3367299591065,Orotate Phosphoribosyltransferase,Pyrimidine synthesis,7372.1,NA,"PMID:3279416,PMID:6574608,PMID:6893554,PMID:9042911"
PAFH,-0.5830795161864487,0,65.98455713859796,250.54849748630522,Platelet-Activating Factor Acetylhydrolase,Glycerophospholipid metabolism,(5051.1) or (5049.1 and 5050.1) or (5049.1 and 5050.1 and 5048.1),NA,"PMID:7669037,PMID:8028668,PMID:8955149"
PAFS,-0.5830795161864487,0,65.98455713859796,250.54849748630522,Alkyl Glycerol Phosphocholine Acetyl Transferase,Glycerophospholipid metabolism,NA,NA,NA
PAIL_HStn,0.9945667571460247,0,978.8795951171875,2.6664891240254276,Phosphatidylinositol Nuclear Transport (Diffusion),"Transport, nuclear",NA,NA,NA
PAN4PP,-0.43290536391913104,1.7600304594501922e-8,1.2815347529865802,3.2381156596610556,Phosphatase (Pan4P),CoA catabolism,NA,NA,PMID:11923312
PCHOL_HSter,1,0,255.16020646657944,NA,Phosphatidylcholine Scramblase,"Transport, endoplasmic reticular",NA,NA,PMID:10856717
PCHOL_HStg,0.8389808938754858,0,80.4806218518734,7.046793054833729,Phosphatidylcholine Scramblase,"Transport, golgi apparatus",NA,NA,PMID:10856717
