Reaction,fc,pval,Ges1_A_D,Ges1_P_D,rxnNames,subSystem,geneRules,kegg,source
r1674,0.5598617257180097,0,13.967064836372248,3.9410158685930075,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1675,0.9225360501208033,0,11.563272106968425,0.4659141402718728,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1676,0.7794175037408879,0,26.34765844722986,3.2661431387823074,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1677,0.46192587109084315,0,1.8174795428014157,0.6689386521858164,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1679,0.8277834336132522,0,3.8480481875481796,0.3625690188253003,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1680,0.7284843921441888,0,5.914619890707651,0.9290865582358092,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1681,0.5522858552070409,0,17.988779873436783,5.188368604847166,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1682,0.6541713255465174,0,14.778763658970465,3.0897163838542996,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1683,-0.49375535608892945,0,5.7596011466181345,16.99461942990571,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1685,-0.6262589058376621,0,1.2408127322348474,5.399146060714417,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1686,0.9628117622385626,0,46.57413797447945,0.8824127457610091,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1687,-0.8940184309293265,0,0.08325084648737684,1.4877930098620475,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1690,-0.987176391001846,0,0.18422650728188456,28.548169701679797,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1691,0.7008848283964569,0,11.519615409874916,2.0258230790264906,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1692,-0.7604802596701994,0,3.0107676852871896,22.129270301908253,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1693,-0.8469395381872987,0,0.37520149329349806,4.527455781485001,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1696,-0.6744829704110994,0,1.3185616602131767,6.7827758450989375,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1700,-0.8675756180964661,0,1.093978973899639,15.428340529113962,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1701,0.513832840433908,0,15.84033699694611,5.08712153593367,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1702,-0.9571414358485776,0,0.07304744466111152,3.3357202594098636,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1707,0.6351509704410515,0,23.98201351336815,5.351074313867092,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1708,0.8583758849805012,0,10.054040632045083,0.7662037687808275,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1710,0.6417771660674257,0,18.203969527155998,3.9719626314818854,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1711,0.9851651658860533,0,39.763810078563544,0.2971488400012735,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1713,0.8907756089780313,0,5.381058114814603,0.3108474600865641,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1715,0.9943268854604368,0,194.475472389251,0.5532100269235146,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1722,0.5997575319816171,0,15.339390981318424,3.837753898027817,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
