Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,rxnNames,subSystem,geneRules,kegg,source
C181OHc,-0.816497816820891,0,0.8779882825625828,8.691252446367756,Production of 3-Hydroxyoctadecenoylcarnitinec,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,"Biochemistry 2005, 44, 5234-5245"
C182OHc,-0.8318274634334042,0,1.134029225991385,12.352468024316943,Production of 3-Hydroxyoctadecadienoylcarnitine,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,"Biochemistry 2005, 44, 5234-5245"
C18OHc,-0.33221915654781814,0,1.2584793434262755,2.510659456424284,Production of 3-Hydroxyoctadecanoylcarnitine,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,PMID: 7977144
C2tcx,-74.59028218567916,0,-104.92387065068242,102.14775002732111,Transport of Acetylcarnitine from Peroxisomes to Cytosol,"Transport, peroxisomal",788.1,NA,"biochemical and biophysical research communications 263,213-218(1999),biochimica et biophysica acta 1546(2001)21-43"
C4CRNCPT2,-0.7735026468876667,0,-142.4683274635315,-18.19489761092807,Transport of Butyryl Carnitine in the Mitochondrial Matrix for Final Hydrolysis,Fatty acid oxidation,1376.1,NA,"Biochemica et Biophysica Acta 1486(2000) 1-17, Eur. J. Biochem. 244, 1-14 (1997) FEBS 1997, Biochemica et Biophysica Acta 1546(2001) 21-43."
C4CRNe,-0.454445702205883,0,6.915222753224816,18.43595780271869,Transport of Butyryl Carnitine into the Extra Cellular Space,Fatty acid oxidation,NA,NA,"Jones LL, McDonald DA, Borum PR. (2010). Progress in Lipid Research 49: 61-75"
C4DCCACT,1,0,0.47955854404706444,NA,Transport of Succinyl Carnitine into Cytosol,Fatty acid oxidation,788.1,NA,"Westin M, Hunt M, Alexson S. (2008). Cellular and Molecular Life Sciences 65: 982-90. doi:10.1006/mgme.2000.3055,doi:10.1006/bbrc.1999.1340,biochimica et biophysica acta 1546 (2001) 21-43"
C4tcx,-1.003575682947724,0,-135.0741642627239,0.2410602154652442,Transport of Bytyrylcarnitine from Peroxisomes,"Transport, peroxisomal",788.1,NA,biochimica et biophysica acta 1546(2001)21-43
C4tmc,-0.7735026468876667,0,-142.4683274635315,-18.19489761092807,Transport of Bytyrylcarnitine into Mitochondrial Matrix,"Transport, mitochondrial",788.1,NA,biochimica et biophysica acta 1546(2001)21-43
C4x,-1.003575682947724,0,-135.0741642627239,0.2410602154652442,Esterification of Butyrylcoa to Butyrylcarnitine for Transport,"Transport, peroxisomal",54677.1,NA,"PMID: 11356164, the journal of biological chemistry volume280,no.1,issue of january,pp.738-744,2005"
C51CPT1,-0.8840404431059888,0,1.559631337328212,25.33994260212276,Production of Tiglylcarnitine,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,"PMID: 8930414, PMID: 14518824"
C5DCe,0.6698946772632883,0,20.845993624385205,4.120842797356941,Transport of Glutaryl Carnitine into the Extra Cellular Fluid,Fatty acid oxidation,NA,NA,"Jones LL, McDonald DA, Borum PR. (2010). Progress in Lipid Research 49: 61-75"
C60CPT1,1,0,330.52673920426366,NA,Production of Hexanoylcarnitine,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,"PMID: 8214594, PMID: 8496747, PMID: 8491807"
C6COAt,-1,0,-330.52673920426366,NA,Esterification of Of Hexanoylcoa for Transport into Cytosol,"Transport, peroxisomal",54677.1,NA,"the journal of biological chemistry,vol 280, no1,issue of january 7,pp 738-744,2005"
C6CRNtcx,-1,0,-330.52673920426366,NA,Transport of Hexanoylcarnitine into Cytosol,"Transport, peroxisomal",788.1,NA,biochimica et biophysica acta 1546(2001)21-43
C6DCCACT,1.216487249490872,0,0.19479854853261425,-1.9944292333949822,Transport of Adipoyl Carnitine into Cytosol,Fatty acid oxidation,788.1,NA,"Westin M, Hunt M, Alexson S. (2008). Cellular and Molecular Life Sciences 65: 982-90. doi:10.1006/mgme.2000.3055,doi:10.1006/bbrc.1999.1340,biochimica et biophysica acta 1546 (2001) 21-43"
C6DCe,1,0,0.19479854853261425,NA,Transport of Adipoyl Carnitine into the Extra Cellular Fluid,Fatty acid oxidation,NA,NA,"Jones LL, McDonald DA, Borum PR. (2010). Progress in Lipid Research 49: 61-75"
C80CPT1,-1,0,-18.739103909236192,NA,Production of Octanoylcarnitine,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,"PMID: 21083904, PMID: 20413428"
