Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem,rxnNames,geneRules,kegg,source
PROSTGE2t2,-1,0,NA,4.823477311706543,"Transport, extracellular",Prostaglandin Uniport,6582.2 or 6582.1 or 6580.1,NA,"PMID:12827517,PMID:12883891,PMID:9187257"
PROt4,-0.3793875287903979,0,15.675484545759646,34.84069188623312,"Transport, extracellular",Na+/Proline-L Symporter,55089.1 or 81539.1 or 54407.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1),NA,"PMID:10747860,PMID:10891391,PMID:10930503,PMID:11325958,PMID:11342143,PMID:11414754"
PSSA1_hs,4.291635435253641,0,409.3640124572754,-254.64284261627196,Glycerophospholipid metabolism,Phosphatidylserine Synthase Homo Sapiens,9791.1,NA,NA
PSSA2_hs,-0.3316904421580632,0,-533.325376449585,-267.64962429504396,Glycerophospholipid metabolism,Phosphatidylserine Synthase Homo Sapiens,81490.1,NA,NA
PSt3,-0.5550344696864823,0,150.50773258305858,525.9839160037994,"Transport, extracellular",Transport of Phosphatidylserine,NA,NA,NA
PTDCAt,5.025820289743646,0,3.146981592629253,-2.1024826061640813,"Transport, extracellular",Fatty Acid Transport via Diffusion,NA,NA,NA
PTE3x,0.3390271220099077,0,13.8538907729652,6.838581463400289,Fatty acid oxidation,Peroxisomal Acyl Coenzyme A Thioesterase,10965.1,NA,PMID:10944470
PYDXDH,1,0,5.299350781106968,NA,Vitamin B6 metabolism,Pyridoxal Dehydrogenase,316.1,NA,PMID:6380540
PYDXPP,-0.4384136773793897,0,11.168370394401695,28.60599712325841,Vitamin B6 metabolism,Pyridoxal 5-Phosphate Phosphatase,57026.1,NA,"PMID:14522954,PMID:6380540"
RDH1,-0.5107302799244037,0,-462.98137614479066,-149.9425617641762,Vitamin A metabolism,Retinol Dehydrogenase (All-Trans),5959.1 or 8608.1,NA,"PMID:10329026,PMID:12226107,PMID:12534290,PMID:1503811"
RDH1a,0.5107302799244037,0,462.98137614479066,149.9425617641762,Vitamin A metabolism,"Retinol Dehydrogenase (All-Trans, NADPH)",157506.1 or 112724.1 or 145226.1 or 51109.1 or 195814.1 or 57665.1 or 50700.1,NA,"PMID:12226107,PMID:12372410,PMID:12407145,PMID:1503811,PMID:15258582,PMID:15322982"
RDH2,-0.5166070995193643,0,-432.4154411947727,-137.8251192401767,Vitamin A metabolism,"Retinol Dehydrogenase (9-Cis, NADH)",5959.1,NA,"PMID:12226107,PMID:1503811,PMID:7836368,PMID:9115228"
RDH2a,0.5166070995193643,0,432.4154411947727,137.8251192401767,Vitamin A metabolism,"Retinol Dehydrogenase (9-Cis, NADPH)",195814.1 or 112724.1 or 145226.1 or 51109.1 or 57665.1 or 50700.1,NA,"PMID:12226107,PMID:12372410,PMID:12435598,PMID:1503811,PMID:15258582,PMID:15322982"
RDH3,-0.5250656637616393,0,-455.06188710432053,-141.71489165009856,Vitamin A metabolism,"Retinol Dehydrogenase (11-Cis, NADH)",5959.1,NA,"PMID:12226107,PMID:1503811,PMID:7836368"
RDH3a,0.5250656637616393,0,455.06188710432053,141.71489165009856,Vitamin A metabolism,"Retinol Dehydrogenase (11-Cis, NADPH)",112724.1 or 145226.1 or 51109.1 or 57665.1 or 195814.1,NA,"PMID:12226107,PMID:12372410,PMID:1503811,PMID:15258582,PMID:15322982"
RETH,-1,0,NA,35.71049257343145,Vitamin A metabolism,Retinyl Ester Hydrolase,8228.1,NA,"PMID:1503811,PMID:15955102"
RETNGLCt,0.5854801295323965,0,199.65765230611564,52.20000088945031,"Transport, extracellular",Retinoyl Glucuronide Efflux,NA,NA,PMID:1503811
RETNGLCtr,0.5854801295323965,0,199.65765230611564,52.20000088945031,"Transport, endoplasmic reticular",Retinoyl Glucuronide Efflux from Er,NA,NA,"PMID:14704335,PMID:2324641"
RTOTAL2t,1,0,NA,-275.06116771144866,"Transport, extracellular",Rtotal2 Transport,NA,NA,PMID:14598172
RTOTALt,-0.6089956911821768,0,-179.51708547561168,-43.62469975032037,"Transport, extracellular",Rtotal Transport,NA,NA,PMID:14598172
S23T2g,0.6835688947997817,0,1.8054302313953279,0.33933525693360517,Keratan sulfate synthesis,"Beta-Galactoside Alpha-2, 3-Sialyltransferase (Core 2)",6484.1 or 6482.1 or 6483.1 or 6482.2,NA,"PMID:10504389,PMID:7901202,PMID:8027041,PMID:8288606,PMID:8920913"
S23T4g,0.4404056623796207,0,0.9067279519135187,0.3522617557714119,Keratan sulfate synthesis,"Beta-Galactoside Alpha-2, 3-Sialyltransferase",6484.1 or 6482.1 or 6483.1 or 6482.2,NA,"PMID:10504389,PMID:7901202,PMID:8027041,PMID:8288606,PMID:8920913"
S2TASE3ly,0.4095709536867433,0,8.833270002578328,3.7000047211591967,Chondroitin sulfate degradation,"Iduronate-2-Sulfatase, Lysosomal",3423.2 or 3423.1,NA,"PMID:2122463,PMID:8244397,PMID:8530090,PMID:8993162"
S4TASE3ly,0.4658381771668805,0,6.97342118920866,2.541164114725283,Chondroitin sulfate degradation,"N-Acetylgalactosamine-4-Sulfatase, Lysosomal",411.1 or 411.2,NA,"PMID:1968043,PMID:2303452"
S6T16g,0.4404056623796207,0,0.9067279519135187,0.3522617557714119,Keratan sulfate synthesis,"Galactose/N-Acetylglucosamine 6-O-Sulfotransferase, Golgi Apparatus",23563.2 or 9435.1 or 23563.1 or 10164.1 or 4166.1,NA,"PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682"
S6T17g,0.4404056623796207,0,0.9067279519135187,0.3522617557714119,Keratan sulfate synthesis,"Galactose/N-Acetylglucosamine 6-O-Sulfotransferase, Golgi Apparatus",23563.2 or 9435.1 or 23563.1 or 10164.1 or 4166.1,NA,"PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682"
S6T18g,0.4404056623796207,0,0.9067279519135187,0.3522617557714119,Keratan sulfate synthesis,"Galactose/N-Acetylglucosamine 6-O-Sulfotransferase, Golgi Apparatus",8534.1 or 9469.1,NA,"PMID:12403612,PMID:8991509,PMID:9405439,PMID:9714738"
S6T1g,0.6835688947997817,0,1.8054302313953279,0.33933525693360517,Keratan sulfate synthesis,"Galactose/N-Acetylglucosamine 6-O-Sulfotransferase, Golgi Apparatus",23563.2 or 9435.1 or 23563.1 or 10164.1 or 4166.1,NA,"PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682"
S6T2g,0.6835688947997817,0,1.8054302313953279,0.33933525693360517,Keratan sulfate synthesis,"Galactose/N-Acetylglucosamine 6-O-Sulfotransferase, Golgi Apparatus",23563.2 or 9435.1 or 23563.1 or 10164.1 or 4166.1,NA,"PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682"
S6T3g,0.6835688947997817,0,1.8054302313953279,0.33933525693360517,Keratan sulfate synthesis,"Galactose/N-Acetylglucosamine 6-O-Sulfotransferase, Golgi Apparatus",8534.1 or 9469.1,NA,"PMID:12403612,PMID:8991509,PMID:9405439,PMID:9714738"
S6TASE11ly,-0.4215770270851244,0,0.768024920967206,1.8875574363408378,Keratan sulfate degradation,"N-Acetylglucosamine-6-Sulfatase, Lysosomal",2799.1,NA,"PMID:3196333,PMID:3689314,PMID:3689315"
S6TASE23ly,0.479517839771859,0,9.829799318718399,3.4580422394937673,Keratan sulfate degradation,"N-Acetylglucosamine-6-Sulfatase, Lysosomal",2799.1,NA,"PMID:3196333,PMID:3689314,PMID:3689315"
SALMCOM,-0.6513659457135929,0,2.754344372678173,13.04643205070269,Tyrosine metabolism,S-Adenosyl-L-Methionine:Catechol O-Methyltransferase,1312.1 or 118881.1 or 1312.2,NA,NA
SAMHISTA,1,0,352.1555304302216,NA,Histidine metabolism,S-Adenosyl-L-Methionine:Histamine N-Tele-Methyltransferase,3176.1,NA,PMID:7943261
SBTD_D2,-0.6136400376687068,0,110.5302132150072,461.63162543964387,Fructose and mannose metabolism,D-Sorbitol Dehydrogenase (D-Fructose Producing),6652.1,NA,PMID:14965227
SBTR,-0.6136400376687068,0,110.5302132150072,461.63162543964387,Fructose and mannose metabolism,D-Sorbitol Reductase,8574.1 or 10327.1 or 231.1 or 10327.2,NA,"PMID:12071861,PMID:9823300"
SCP22x,0.4967689193063336,0,-20.930629259574413,-62.25433312678337,"Transport, peroxisomal",Sterol Carrier Protein 2,6342.1,NA,PMID:1703300
SCP2x,-0.6306738675522879,0,1.9384028013494796,8.55856793019718,Bile acid synthesis,Peroxisomal Thiolase 2,6342.1,NA,PMID:1703300
SERALANaEx,0.4170547712836443,0,124.57700749667734,51.24824643310378,"Transport, extracellular",L-Alanine/L-Serine Na-Dependent Exchange (Ser-L In),6509.1 or 6510.1,NA,PMID:14530974
SERASNNaEx,-0.8169865809211297,0,5.535776494497061,54.960077004763576,"Transport, extracellular",L-Serine/L-Asparagine Na-Dependent Exchange (Ser-L In),6510.1,NA,PMID:14530974
SERCYSNaEx,-0.7393332643526612,0,6.247653657277674,41.68829522213936,"Transport, extracellular",L-Serine/L-Cysteine Na-Dependent Exchange (Ser-L In),6509.1 or 6510.1,NA,PMID:14530974
SERPT,0.5222234261655909,0,81.8201856076099,25.680703159699497,Sphingolipid metabolism,Serine C-Palmitoyltransferase,10558.1 and 9517.1 and 55304.1,NA,NA
SERt4,-0.8692657127615185,0,18.656621012605758,266.7562023054719,"Transport, extracellular",L-Serine via Sodium Symport,81539.1 or 11254.1 or 54407.1 or 55089.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1),NA,"PMID:10747860,PMID:10891391,PMID:10930503,PMID:11325958,PMID:11342143,PMID:11414754"
SERTHRNaEx,-0.42284586158048854,0,20.555614967530968,50.67532179338634,"Transport, extracellular",L-Serine/L-Threonine Na-Dependent Exchange (Ser-L In),6509.1 or 6510.1,NA,PMID:14530974
SFGTH,0.73369272961668,0,59.55801895220438,9.14852625592218,Tyrosine metabolism,S-Formylglutathione Hydralase,2098.1,NA,"PMID:4436331,PMID:8460164"
SLDt,-0.7220049963725449,0,5.146350725016324,31.878420640392967,Methionine and cysteine metabolism,L-Sulfolactate Transport (Cytosol to Extracellular),NA,NA,PMID:15758220
SLDx,0.7220049963725449,0,-5.146350725016324,-31.878420640392967,Methionine and cysteine metabolism,L-Sulfolactate Dehydrogenase (NAD+),4190.1 or 130752.1,NA,"PMID:15758220,PMID:3346220"
SMPD3g,0.6491898447363944,0,40.38968013255277,8.591557851008346,Sphingolipid metabolism,"Sphingomyelin Phosphodiesterase 3, Neutral Membrane (Neutral Sphingomyelinase Ii)",55512.1 or 55512.2 or 339221.1 or 55627.1,NA,NA
SO4HCOtex,-0.9974659684541297,0,0.16547140880823136,130.43385682599543,"Transport, extracellular",Sulfate Transport via Bicarbonate Antiport,115111.1 or 115019.2 or 1836.1 or 115111.2 or 116369.2 or 284129.1 or 10861.2 or 116369.1 or 10861.1 or 10861.3 or 115019.1 or 1811.1,NA,PMID:12759755
SPHGNtr,0.3757770589625518,0,39.69968641310623,18.01269678805433,"Transport, endoplasmic reticular",Sphinganine Intracellular Transport,NA,NA,NA
SPRMS,-0.7195320826987408,0,12.441976659547596,76.28101725196838,Urea cycle,Spermine Synthase,6611.1 or 6723.1,NA,PMID:7546290
SR5AR2r,0.7231845781506842,0,236.66711869095863,38.01862500917241,Steroid metabolism,3-Oxo-5-Alpha-Steroid 4-Dehydrogenase,6715.1 or 6716.1,NA,PMID:14643063
ST8SIA55g,1,0,1.181808938015612,NA,Sphingolipid metabolism,"Beta-Galactoside Alpha-2, 3-Sialyltransferase",29906.1,NA,PMID:9199191
STCOAtx,-1.0252253848183366,0,-0.27157967297220015,21.803831801374844,"Transport, peroxisomal",Fatty Acid Intracellular Transport,NA,NA,NA
STRDNCCPT2,-1.0966997160987144,0,-27.290501728803292,1.2586369660396863,Fatty acid oxidation,Carnitine Transferase,1376.1,NA,NA
STRDNCCRNt,-1,0,NA,236.67171326673738,Fatty acid oxidation,Transport into the Mitochondria (Carnitine),788.1,NA,NA
STRDNCt,1.0238283874242369,0,48.88330768330651,-0.5755480065869021,"Transport, extracellular",Fatty Acid Transport via Diffusion,NA,NA,"PMID:11788354,PMID:12864740"
STS1,0.6022162978688146,0,236.66711869095863,58.75756149206161,Steroid metabolism,Steryl-Sulfatase,412.1,NA,"PMID:2668275,PMID:6957717"
SUCCt2m,0.9138935328326445,0,-4.028750217905641,-89.547269108852,"Transport, mitochondrial","Succinate Transport, Mitochondrial",1468.1,NA,PMID:14598172
SUCD1m,22.74262355506474,0,124.85520064058686,-114.33781191553562,Citric acid cycle,Succinate Dehydrogenase,6389.1 and 6392.1 and 6391.1 and 6390.1,NA,PMID:6945861
