Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem,rxnNames,geneRules,kegg,source
HMR_2602,0.37648514837426333,0,28.110942635696567,12.733584701046281,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2603,0.3764851483742635,0,28.110942635696567,12.733584701046276,"Transport, mitochondrial",HMR_2603,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2604,-0.3764851483742635,0,-28.110942635696567,-12.733584701046276,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2608,0.4292072377309167,0,87.44301638736351,34.92274566432126,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2609,0.4292072377309167,0,87.44301638736351,34.92274566432126,"Transport, mitochondrial",HMR_2609,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2610,-0.4292072377309167,0,-87.44301638736351,-34.92274566432126,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2612,7.231960554277051,0,70.8095430057492,-93.5341871651709,"Transport, mitochondrial",HMR_2612,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2613,-0.43233111702283034,0,-5.52214291068654,-2.1885642645713457,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2620,0.39370443835422575,0,-0.868321038796549,-1.9960279478248046,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2621,-0.3937044383543046,0,0.868321038796549,1.9960279478251772,"Transport, mitochondrial",HMR_2621,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2622,-0.3937044383542229,0,0.868321038796549,1.9960279478247913,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2634,-0.8068771268440763,0,-246.49342691444159,-26.345742116350657,"Transport, mitochondrial",HMR_2634,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2635,-1.1974994810073374,0,-5.5965537487000985,0.5029882693265801,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2644,-1.6168161804744647,0,-0.6927219019219891,2.9388429468956687,"Transport, mitochondrial",HMR_2644,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2655,0.993779494768652,0,-0.14162712132865551,-45.39394147362364,"Transport, mitochondrial",HMR_2655,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2660,0.33895080961487745,0,-1.8013675671272684,-3.6486582201452475,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2661,0.33895080961393925,0,-1.8013675671303544,-3.6486582201437634,"Transport, mitochondrial",HMR_2661,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2662,-0.3389508096146974,0,1.8013675671272684,3.6486582201437634,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2667,1.117998979229876,0,1.236647298192978,-22.196952315473556,"Transport, mitochondrial",HMR_2667,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2669,-0.5281712631635973,0,1.1913918701085997,3.858711174046132,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2670,0.5281712631635973,0,-1.1913918701085997,-3.858711174046132,"Transport, mitochondrial",HMR_2670,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2671,0.5281712631635973,0,-1.1913918701085997,-3.858711174046132,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2673,-0.7621725858781436,0,-175.8359098953724,-23.73127359675765,"Transport, mitochondrial",HMR_2673,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2679,-0.4888672011347266,0,-7.121483990681189,-2.444827880859288,"Transport, mitochondrial",HMR_2679,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2684,1.9836974909740335,0,1.751215115137707,-0.5773594408038994,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2685,-1.9836974909752425,0,-1.751215115137707,0.5773594408043748,"Transport, mitochondrial",HMR_2685,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2686,-1.9836974910964174,0,-1.751215115137707,0.5773594408520478,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2687,-0.6166970298943483,0,0.5574915181479999,2.3513902888170524,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2688,0.6166970298943483,0,-0.5574915181479999,-2.3513902888170524,"Transport, mitochondrial",HMR_2688,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2689,0.6166970298943483,0,-0.5574915181479999,-2.3513902888170524,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2711,0.8897430812657339,0,-0.5777056847511267,-9.901558408298204,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2712,0.5897600659534417,0,-3.7138338896826375,-14.391833459908701,"Transport, mitochondrial",HMR_2712,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2713,-0.5897600659618154,0,3.7138338895872702,14.391833459908701,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2718,-0.9068563899631082,0,-273.71910009429456,-13.370270175052436,"Transport, mitochondrial",HMR_2718,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2722,1.5252000697320884,0,15.557476596700505,-74.8014770959258,"Transport, mitochondrial",HMR_2722,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2727,-0.8142201253103633,0,-249.59718901205062,-25.55926585237924,"Transport, mitochondrial",HMR_2727,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2731,0.4004273789841575,0,-51.52447374117374,-120.34619524927139,"Transport, mitochondrial",HMR_2731,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2748,-1.013528696815029,0,-0.07671425076872103,11.417681058968391,"Transport, mitochondrial",HMR_2748,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2757,2.865549127930455,0,3.2602504781669066,-6.755468512744922,"Transport, mitochondrial",HMR_2757,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2760,1.4610665714904496,0,31.469285290719075,-5.895588377952576,"Transport, mitochondrial",HMR_2760,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2764,-1.0922433844306598,0,-316.17607516633274,13.939655140686035,"Transport, mitochondrial",HMR_2764,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2851,-0.49617326469532497,0,-15.886575941749046,-5.349702391274273,"Transport, endoplasmic reticular",HMR_2851,6584.1,NA,NA
HMR_2852,0.49617326469532497,0,15.886575941749046,5.349702391274273,"Transport, endoplasmic reticular",Carnitine O-Acetyltransferase,1384.1,NA,NA
HMR_2861,0.5736816438732072,0,2.128313970572263,0.5765710725473516,"Transport, endoplasmic reticular",HMR_2861,6584.1,NA,NA
HMR_2862,-0.5736816438733682,0,-2.128313970572682,-0.5765710725471884,"Transport, endoplasmic reticular",Carnitine O-Acetyltransferase,1384.1,NA,NA
HMR_2888,-0.52654086746746,0,51.31262089545429,165.4436622539796,"Transport, endoplasmic reticular",HMR_2888,6584.1,NA,NA
HMR_2890,0.52654086746746,0,-51.31262089545429,-165.4436622539796,"Transport, endoplasmic reticular",Carnitine O-Acetyltransferase,1384.1,NA,NA
HMR_2944,-0.43239486090554097,0,1.7505156419773957,4.417559737925324,Fatty acid synthesis,Long-Chain-Fatty-Acid Coenzyme A Ligase,2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1,NA,NA
HMR_2967,-0.42984787179527006,0,1.735694313458704,4.352836194789971,Fatty acid synthesis,Long-Chain-Fatty-Acid Coenzyme A Ligase,2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1,NA,NA
HMR_2968,-0.3841172546409452,0,1.4742218347258549,3.3131239574229254,Fatty acid synthesis,Long-Chain-Fatty-Acid Coenzyme A Ligase,2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1,NA,NA
HMR_2979,-0.584604394078373,0,2.2018085157776444,8.399211256169876,Fatty acid synthesis,Long-Chain-Fatty-Acid Coenzyme A Ligase,2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1,NA,NA
HMR_2999,-0.3317013970230081,0,1.609358010263083,3.2069262168595336,Fatty acid synthesis,Long-Chain-Fatty-Acid Coenzyme A Ligase,2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1,NA,NA
HMR_3062,-0.6010288499385789,0,4.413753887070116,17.711925558125973,Fatty acid oxidation,Acyl Coenzyme A Oxidase,8310.1 or 51.1,NA,NA
HMR_3063,-0.6010288499385789,0,4.413753887070116,17.711925558125973,Fatty acid oxidation,Enoyl Coenzyme A Hydratase,1962.1,NA,NA
HMR_3064,-0.6010288499385789,0,4.413753887070116,17.711925558125973,Fatty acid oxidation,3-Hydroxyacyl Coenzyme A Dehydrogenase,1962.1 or 3295.1,NA,NA
HMR_3065,-0.6010288499385789,0,4.413753887070116,17.711925558125973,Fatty acid oxidation,Acetyl Coenzyme A C-Acyltransferase,30.1 or 4645.1,NA,NA
HMR_3111,-0.4749808325469405,0,2.9909548747069428,8.402742956236938,Fatty acid oxidation,Medium-Chain Acyl Coenzyme A Dehydrogenase,37.1 or 33.1 or 34.1 or 28976.1,NA,NA
HMR_3112,-0.4749808325469405,0,2.9909548747069428,8.402742956236938,Fatty acid oxidation,Enoyl Coenzyme A Hydratase,3030.1 or 1892.1,NA,NA
HMR_3113,-0.4749808325469405,0,2.9909548747069428,8.402742956236938,Fatty acid oxidation,3-Hydroxyacyl Coenzyme A Dehydrogenase,3028.1 or 3030.1 or 3033.1,NA,NA
