Reaction,fc,pval,S1K1,S1K1_FC5,subSystem,rxnNames,geneRules,kegg,source
TMNDNCCPT1,1,0,-3.7668260573902788,NA,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2,NA,NA
TOLBUTAMIDEte,-0.359662693007823,0,14.391772470896575,6.777849296189403,"Transport, extracellular",Transport of Xenobiotic,NA,NA,NA
TREH,1,0,NA,155.44662143121585,Starch and sucrose metabolism,"Alpha, Alpha-Trehalase",80162.1 or 11181.1,NA,NA
TRIODTHYt2,0.4788248303788185,0,32.41716793644261,91.98310984350294,"Transport, extracellular",T3 Transport via Facilitated Diffusion,6567.1,NA,"PMID:12871948,PMID:7981683"
TRIOK,0.4165523027568255,0,83.88310936752222,203.6597492773056,Fructose and mannose metabolism,Triokinase,NA,NA,NA
TRPO2,-0.4281547271359612,0,20.97089505012268,8.396924348799127,Tryptophan metabolism,"L-Tryptophan:Oxygen 2, 3-Oxidoreductase (Decyclizing)",6999.1 or 169355.1 or 3620.1,NA,PMID:8666386
TSTSTERONEtr,-0.8594946221236921,0,406.8208500526428,30.7398131645713,"Transport, endoplasmic reticular",Testosterone Intracellular Transport,NA,NA,NA
TSULt4_3,-0.37139013695965667,0,-27.355646663459204,-59.67972542297449,"Transport, extracellular",Thiosulfate Transport via Sodium Symport,6561.1,NA,"PMID:10811962,PMID:11161786"
TTDCAtr,-4.494890828246761,0,5.519354537609727,-8.677882119072725,"Transport, extracellular",Tetradecanoate (Transport),11001.1,NA,"PMID:10811962,PMID:11161786"
TTDCPT2,2.4423668139475603,0,-29.858165499788523,12.510702481721342,Fatty acid oxidation,Carnitine Transferase,1376.1,NA,NA
TYR3MO2,0.5200117641845714,0,5.846121305847249,18.513314487055293,Tyrosine metabolism,Tyrosine 3-Monooxygenase,7054.1 or 7054.3 or 7054.2,NA,"PMID:10727395,PMID:9920892"
TYRASE,0.5149239485515904,0,3.3598010831400598,10.492876545895156,Tyrosine metabolism,Tyrosinase,7306.1,NA,PMID:9434945
TYRCBOX,-0.5607421794556877,0,10.11384244015772,2.8464562860354112,Tyrosine metabolism,L-Tyrosine Carboxy-Lyase,1644.1,NA,PMID:6131938
TYRDOPO3,0.4415980906779899,0,3.9334508513374633,10.154791991933994,Tyrosine metabolism,Tyrosine:Dopa Oxidase (Dopaquinone Producing 2),7299.1,NA,PMID:5294951
TYROXDAc,-0.5607421794556877,0,10.11384244015772,2.8464562860354112,Tyrosine metabolism,Tyramine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing) (Cytosol),4128.1 or 4129.1,NA,"PMID:11336106,PMID:14697899,PMID:8255365"
TYRTAm,0.7173483187765122,0,36.713621025989575,223.06633759354352,Tyrosine metabolism,"Tyrosine Transaminase, Mitochondrial",6898.1 or 2806.1,NA,PMID:1973834
UAG2EMAi,-1,0,3.816230174661902,NA,Aminosugar metabolism,UDP-N-Acetyl-D-Glucosamine 2-Epimerase (Hydrolysis),10020.1,NA,"PMID:10330343,PMID:10431835"
UAGALDP,0.40155071130370196,0,12.654245666682709,29.635872830239776,Aminosugar metabolism,UDP-N-Acetylgalactosamine Diphosphorylase,NA,NA,NA
UGALGTg,-0.5704688339057478,0,12.926611295854373,3.5354935441454862,Galactose metabolism,"UDPgalactose:D-Glucose 4-Beta-D-Galactosyltransferase, Golgi Apparatus",(3906.1 and 2683.1) or 8704.2 or 8704.1,NA,PMID:11419947
UGT1A10r,0.3837573009586951,0,1.03090786003314,2.3148773691855884,Steroid metabolism,"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",54576.1,NA,PMID:7945246
UGT1A1r,0.4411657528328585,0,1.3631073116986385,3.5152884509395363,Steroid metabolism,"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",54575.1 or 54576.1,NA,"PMID:15117964,PMID:9295054"
UMPK2n,1.3406605271462506,0,-8.749712165445089e-6,1.2734360767353791e-6,Nucleotide interconversion,"UMP Kinase (CTP), Nuclear",51727.1,NA,"PMID:10462544,PMID:11912132"
UMPK3,-0.7609501443692102,0,8.450535146665572,1.1471643381118775,Nucleotide interconversion,UMP Kinase (UTP),51727.1,NA,"PMID:10462544,PMID:11912132"
UMPK3n,0.836885553749074,0,0.7473258757907315,8.415883060848609,Nucleotide interconversion,"UMP Kinase (UTP), Nuclear",51727.1,NA,"PMID:10462544,PMID:11912132"
UMPK4,0.4002778674975452,0,-54.92896229452044,-23.52541246851813,Nucleotide interconversion,UMP Kinase (GTP),51727.1,NA,"PMID:10462544,PMID:11912132"
UMPK4n,0.579518859189342,0,-0.27393159012869,-0.0729228820860706,Nucleotide interconversion,"UMP Kinase (GTP), Nuclear",51727.1,NA,"PMID:10462544,PMID:11912132"
UMPK5,0.7745677818782395,0,-106.62032588395476,-13.544513095715642,Nucleotide interconversion,UMP Kinase (dATP),51727.1,NA,"PMID:10462544,PMID:11912132"
UMPK5n,-0.9143827001760705,0,-0.3731235886075534,-8.342955740567168,Nucleotide interconversion,"UMP Kinase (dATP), Nuclear",51727.1,NA,"PMID:10462544,PMID:11912132"
UMPK7,-3.4613806266214753,0,7.13410044258833,-12.930928747344018,Nucleotide interconversion,UMP Kinase (dGTP),51727.1,NA,"PMID:10462544,PMID:11912132"
UMPK7n,-1.000832399039731,0,7.520293410867453e-4,-3.1286403682315725e-7,Nucleotide interconversion,"UMP Kinase (dGTP), Nuclear",51727.1,NA,"PMID:10462544,PMID:11912132"
