Reaction,fc,pval,S1C1,S1K1,subSystem,rxnNames,geneRules,kegg,source
ALDD2xm,-0.692958554911618,0,190.73975546496808,34.59329230704401,Glycolysis/gluconeogenesis,"Aldehyde Dehydrogenase (Acetylaldehyde, NAD), Mitochondrial",219.1 or 217.1,NA,"PMID:18983992,PMID:18983993,PMID:19382904,PMID:19382905"
ALOX12,-0.5526288662117615,0,16.58115107894668,4.777657120211447,Eicosanoid metabolism,Arachidonate 12-Lipoxygenase,239.1,NA,"PMID:2217179,PMID:2377602"
ALOX15,-0.4660634805237978,0,7.725496244300936,2.813605707192674,Eicosanoid metabolism,Arachidonate 15-Lipoxygenase,247.1 or 246.1,NA,PMID:11839751
AMPTASECGe,-0.3868619853434739,0,283.4518468323231,125.31535542410425,Glutathione metabolism,Alanyl Aminopeptidase (Cys-Gly) (E),290.1,NA,PMID:6126478
AMY1e,0.4243821936073628,0,8.846454481928284,21.89079646368958,Starch and sucrose metabolism,"Alpha-Amylase, Extracellular (Strch1 -> Strch2)",6520.1 or 280.1 or 278.1 or 276.1 or 277.1 or (6519.1 and 11136.1) or 276.2 or 279.1,NA,NA
APRTO2,-0.3387615532415842,0,13.64685937919959,6.74042967336699,Arginine and proline metabolism,N-Acetylputrescine: Oxygen Oxireductase (Deaminating),4128.1 or 4129.1,NA,PMID:4156831
ARACHCOAtx,-1.1290686953254025,0,33.44206459718943,-2.027329440343574,"Transport, peroxisomal",Fatty Acid Intracellular Transport,NA,NA,NA
ARACHCPT1,-0.8452201727827822,0,48.478016877426114,4.066408543976332,Fatty acid oxidation,Carnitine Transferase,1375.3 or 1374.1 or 1375.2 or 1375.4 or 1375.1 or 126129.1,NA,NA
ARACHCPT2,-0.8452201727827822,0,48.478016877426114,4.0664085439763324,Fatty acid oxidation,Carnitine Transferase,1376.1,NA,NA
ARACHDCOAtx,-1,0,187.2674687174022,NA,"Transport, peroxisomal",Fatty Acid Intracellular Transport,NA,NA,NA
ARACHDtr,2.471857448574204,0,-104.42744418787956,44.2709166030474,"Transport, endoplasmic reticular",Intracellular Transport,NA,NA,NA
ARACHt,-0.9412651858147674,0,94.6253211909026,2.8629785863248616,"Transport, extracellular",Fatty Acid Transport via Diffusion,NA,NA,"PMID:11788354,PMID:12864740"
